population,transect,quad,aphid_count,leaf_dmg,stem_dmg,flwr_dmg,fruit_dmg,height,stem_thickness,phenology,flower_count,fruit_count,longest_fruit,
TM2,lower,3.5,0,1a,2a,0,0,64,6.1,P,0,76,10,
TM2,lower,3,7,1b,0,0,4a,55,3.94,P,0,37,8,
TM2,lower,4.4,7,1b,0,0,4a,29,2.43,P,0,6,8,
TM2,lower,4,3,1b,0,0,0,42,3.52,P,0,12,6,
TM2,lower,5,8,1b,2a,0,4b,29,2.7,P,0,4,9.5,
TM2,lower,5.2,0,1b,2b,0,4a,31,2.07,P,0,6,6.5,
TM2,lower,5.6,0,1a,0,0,0,22.5,1.63,P,0,4,7,
TM2,lower,5.8,0,1b,2b,0,4a,22,2.43,P,0,3,6,
TM2,lower,6.1,0,1b,2b,0,4a,40,3.16,P,0,16,8,
TM2,lower,6.2,0,1b,2b,0,4b,51,4.77,P,0,44,7,
TM2,lower,7.7,11,1b,0,3a,0,28.5,2.62,P,0,3,8,
TM2,lower,7.5,15,1a,2b,0,0,29.5,2.42,P,0,11,6,
TM2,lower,8.5,50,1b,2b,0,0,36,2.3,P,0,16,6,
TM2,lower,9.1,0,0,2b,0,4a,53,3.06,P,0,13,6,
TM2,lower,9.3,40,1b,2a,0,0,41,2.65,P,0,12,7,
TM2,lower,9.6,50,1b,2b,0,4b,39,3.22,P,0,16,6,
TM2,lower,10,10,1b,2b,0,4a,32,2.24,P,0,7,6.5,
TM2,lower,10.3,25,1b,0,0,4a,47,4.05,P,0,21,9,
TM2,lower,11.6,30,1b,2a,0,4a,41,3.69,P,0,5,10,
TM2,lower,15.1,25,1b,0,0,4a,29,1.85,P,0,8,8,
TM2,lower,15.2,4,1a,0,0,0,17,1.76,P,0,2,6,
TM2,lower,15.5,8,1b,0,0,0,25.5,1.38,P,0,6,6,
TM2,lower,15.9,3,1a,0,0,0,32.5,1.68,P,0,8,7,
TM2,lower,15.9,1,1a,0,0,0,13.5,1.15,P,0,1,6,
TM2,lower,15.6,6,1a,0,0,0,6,1.21,V,0,0,0,
TM2,lower,16.2,6,1a,0,0,4a,15,1.15,P,0,6,7,
TM2,lower,17,75,1b,0,0,0,33,2.53,P,1,17,7,
TM2,lower,5.8,0,1b,2b,0,4b,22,2.36,P,0,1,5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
